"id","date","ags","inspid1km","x","y"
112,"2024-12-13","14628360","CRS3035RES1000mN3100000E4616000",4616500,3100500
113,"2024-12-13","07211000","CRS3035RES1000mN2964000E4078000",4078500,2964500
114,"2024-12-13","09679194","CRS3035RES1000mN2974000E4309000",4309500,2974500
115,"2024-12-13","09761000","CRS3035RES1000mN2804000E4391000",4391500,2804500
116,"2024-12-13","02000000","CRS3035RES1000mN3395000E4324000",4324500,3395500
117,"2024-12-13","06440004","CRS3035RES1000mN3019000E4256000",4256500,3019500
118,"2024-12-13","05770032","CRS3035RES1000mN3233000E4253000",4253500,3233500
119,"2024-12-13","09183129","CRS3035RES1000mN2808000E4507000",4507500,2808500
120,"2024-12-13","03102000","CRS3035RES1000mN3216000E4346000",4346500,3216500
121,"2024-12-13","16065056","CRS3035RES1000mN3136000E4409000",4409500,3136500
122,"2024-12-13","06531003","CRS3035RES1000mN3055000E4234000",4234500,3055500
123,"2024-12-13","11000000","CRS3035RES1000mN3263000E4547000",4547500,3263500
124,"2024-12-13","05958044","CRS3035RES1000mN3142000E4180000",4180500,3142500
125,"2024-12-13","09377139","CRS3035RES1000mN2980000E4502000",4502500,2980500
126,"2024-12-13","15084235","CRS3035RES1000mN3119000E4468000",4468500,3119500
127,"2024-12-13","05766024","CRS3035RES1000mN3213000E4253000",4253500,3213500
128,"2024-12-13","16071064","CRS3035RES1000mN3107000E4431000",4431500,3107500
129,"2024-12-13","08226041","CRS3035RES1000mN2915000E4225000",4225500,2915500
130,"2024-12-13","09173135","CRS3035RES1000mN2731000E4439000",4439500,2731500
131,"2024-12-13","11000000","CRS3035RES1000mN3266000E4547000",4547500,3266500
132,"2024-12-13","09372171","CRS3035RES1000mN2921000E4513000",4513500,2921500
133,"2024-12-13","08435030","CRS3035RES1000mN2720000E4286000",4286500,2720500
134,"2024-12-13","05112000","CRS3035RES1000mN3151000E4096000",4096500,3151500
135,"2024-12-13","09773119","CRS3035RES1000mN2835000E4366000",4366500,2835500
136,"2024-12-13","09276139","CRS3035RES1000mN2873000E4557000",4557500,2873500
137,"2024-12-13","08216043","CRS3035RES1000mN2864000E4185000",4185500,2864500
138,"2024-12-13","14729350","CRS3035RES1000mN3120000E4479000",4479500,3120500
139,"2024-12-13","03357037","CRS3035RES1000mN3335000E4267000",4267500,3335500
140,"2024-12-13","05566088","CRS3035RES1000mN3236000E4177000",4177500,3236500
141,"2024-12-13","05382056","CRS3035RES1000mN3076000E4122000",4122500,3076500
142,"2024-12-13","01059081","CRS3035RES1000mN3499000E4291000",4291500,3499500
143,"2024-12-13","12060176","CRS3035RES1000mN3313000E4592000",4592500,3313500
144,"2024-12-13","05754016","CRS3035RES1000mN3206000E4199000",4199500,3206500
145,"2024-12-13","09177119","CRS3035RES1000mN2786000E4467000",4467500,2786500
146,"2024-12-13","05370020","CRS3035RES1000mN3112000E4054000",4054500,3112500
147,"2024-12-13","03454054","CRS3035RES1000mN3285000E4122000",4122500,3285500
148,"2024-12-13","16076092","CRS3035RES1000mN3069000E4464000",4464500,3069500
149,"2024-12-13","07331055","CRS3035RES1000mN2956000E4199000",4199500,2956500
150,"2024-12-13","01051048","CRS3035RES1000mN3449000E4260000",4260500,3449500
151,"2024-12-13","08119085","CRS3035RES1000mN2861000E4275000",4275500,2861500
152,"2024-12-13","08118014","CRS3035RES1000mN2869000E4269000",4269500,2869500
153,"2024-12-13","06440021","CRS3035RES1000mN3027000E4240000",4240500,3027500
154,"2024-12-13","05154008","CRS3035RES1000mN3199000E4062000",4062500,3199500
155,"2024-12-13","06531002","CRS3035RES1000mN3059000E4221000",4221500,3059500
156,"2024-12-13","09671133","CRS3035RES1000mN2991000E4260000",4260500,2991500
157,"2024-12-13","08212000","CRS3035RES1000mN2878000E4205000",4205500,2878500
158,"2024-12-13","05315000","CRS3035RES1000mN3095000E4109000",4109500,3095500
159,"2024-12-13","01053129","CRS3035RES1000mN3376000E4338000",4338500,3376500
160,"2024-12-13","09778165","CRS3035RES1000mN2747000E4333000",4333500,2747500
161,"2024-12-13","15089055","CRS3035RES1000mN3200000E4443000",4443500,3200500
162,"2024-12-13","08221000","CRS3035RES1000mN2923000E4223000",4223500,2923500
163,"2024-12-13","05362020","CRS3035RES1000mN3077000E4089000",4089500,3077500
164,"2024-12-13","08336091","CRS3035RES1000mN2722000E4142000",4142500,2722500
165,"2024-12-13","09575118","CRS3035RES1000mN2944000E4363000",4363500,2944500
166,"2024-12-13","09273147","CRS3035RES1000mN2841000E4453000",4453500,2841500
167,"2024-12-13","13003000","CRS3035RES1000mN3448000E4455000",4455500,3448500
168,"2024-12-13","03241004","CRS3035RES1000mN3267000E4315000",4315500,3267500
169,"2024-12-13","05158036","CRS3035RES1000mN3134000E4113000",4113500,3134500
170,"2024-12-13","03457014","CRS3035RES1000mN3358000E4150000",4150500,3358500
171,"2024-12-13","08215089","CRS3035RES1000mN2878000E4219000",4219500,2878500
172,"2024-12-13","14627060","CRS3035RES1000mN3137000E4567000",4567500,3137500
173,"2024-12-13","14730110","CRS3035RES1000mN3152000E4502000",4502500,3152500
174,"2024-12-13","09189155","CRS3035RES1000mN2754000E4518000",4518500,2754500
175,"2024-12-13","05358012","CRS3035RES1000mN3063000E4072000",4072500,3063500
176,"2024-12-13","03257011","CRS3035RES1000mN3252000E4279000",4279500,3252500
177,"2024-12-13","07338001","CRS3035RES1000mN2925000E4211000",4211500,2925500
178,"2024-12-13","13003000","CRS3035RES1000mN3446000E4462000",4462500,3446500
179,"2024-12-13","05112000","CRS3035RES1000mN3157000E4094000",4094500,3157500
180,"2024-12-13","09371151","CRS3035RES1000mN2934000E4446000",4446500,2934500
181,"2024-12-13","08211000","CRS3035RES1000mN2848000E4186000",4186500,2848500
182,"2024-12-13","01059018","CRS3035RES1000mN3487000E4292000",4292500,3487500
183,"2024-12-13","09775139","CRS3035RES1000mN2815000E4327000",4327500,2815500
184,"2024-12-13","09477128","CRS3035RES1000mN2997000E4425000",4425500,2997500
185,"2024-12-13","15089055","CRS3035RES1000mN3200000E4442000",4442500,3200500
186,"2024-12-13","09571174","CRS3035RES1000mN2910000E4350000",4350500,2910500
187,"2024-12-13","08215089","CRS3035RES1000mN2878000E4218000",4218500,2878500
188,"2024-12-13","13075058","CRS3035RES1000mN3452000E4571000",4571500,3452500
189,"2024-12-13","08226062","CRS3035RES1000mN2918000E4218000",4218500,2918500
190,"2024-12-13","05370036","CRS3035RES1000mN3116000E4051000",4051500,3116500
191,"2024-12-13","02000000","CRS3035RES1000mN3394000E4321000",4321500,3394500
192,"2024-12-13","09778165","CRS3035RES1000mN2752000E4331000",4331500,2752500
193,"2024-12-13","07333039","CRS3035RES1000mN2951000E4177000",4177500,2951500
194,"2024-12-13","12068353","CRS3035RES1000mN3336000E4514000",4514500,3336500
195,"2024-12-13","09276139","CRS3035RES1000mN2876000E4555000",4555500,2876500
196,"2024-12-13","03159016","CRS3035RES1000mN3159000E4317000",4317500,3159500
197,"2024-12-13","03457002","CRS3035RES1000mN3390000E4101000",4101500,3390500
198,"2024-12-13","11000000","CRS3035RES1000mN3273000E4552000",4552500,3273500
199,"2024-12-13","04011000","CRS3035RES1000mN3331000E4238000",4238500,3331500
200,"2024-12-13","02000000","CRS3035RES1000mN3386000E4316000",4316500,3386500
201,"2024-12-13","09187122","CRS3035RES1000mN2752000E4465000",4465500,2752500
202,"2024-12-13","09778151","CRS3035RES1000mN2769000E4338000",4338500,2769500
203,"2024-12-13","05754008","CRS3035RES1000mN3201000E4208000",4208500,3201500
204,"2024-12-13","06534004","CRS3035RES1000mN3092000E4213000",4213500,3092500
205,"2024-12-13","08311000","CRS3035RES1000mN2769000E4157000",4157500,2769500
206,"2024-12-13","02000000","CRS3035RES1000mN3388000E4314000",4314500,3388500
207,"2024-12-13","15090070","CRS3035RES1000mN3278000E4432000",4432500,3278500
208,"2024-12-13","08127103","CRS3035RES1000mN2885000E4319000",4319500,2885500
209,"2024-12-13","03241004","CRS3035RES1000mN3264000E4311000",4311500,3264500
210,"2024-12-13","02000000","CRS3035RES1000mN3391000E4318000",4318500,3391500
211,"2024-12-13","03241017","CRS3035RES1000mN3234000E4290000",4290500,3234500
212,"2024-12-13","13075093","CRS3035RES1000mN3413000E4582000",4582500,3413500
213,"2024-12-13","08119038","CRS3035RES1000mN2870000E4272000",4272500,2870500
214,"2024-12-13","03457014","CRS3035RES1000mN3356000E4151000",4151500,3356500
215,"2024-12-13","03153018","CRS3035RES1000mN3187000E4344000",4344500,3187500
216,"2024-12-13","05562020","CRS3035RES1000mN3169000E4120000",4120500,3169500
217,"2024-12-13","14729350","CRS3035RES1000mN3122000E4476000",4476500,3122500
218,"2024-12-13","03241001","CRS3035RES1000mN3254000E4303000",4303500,3254500
219,"2024-12-13","05970040","CRS3035RES1000mN3085000E4181000",4181500,3085500
220,"2024-12-13","14523340","CRS3035RES1000mN3059000E4484000",4484500,3059500
221,"2024-12-13","06440008","CRS3035RES1000mN3025000E4233000",4233500,3025500
222,"2024-12-13","09187150","CRS3035RES1000mN2751000E4476000",4476500,2751500
223,"2024-12-13","03352062","CRS3035RES1000mN3390000E4229000",4229500,3390500
224,"2024-12-13","07143052","CRS3035RES1000mN3033000E4158000",4158500,3033500
225,"2024-12-13","03252001","CRS3035RES1000mN3215000E4270000",4270500,3215500
226,"2024-12-13","09671130","CRS3035RES1000mN2988000E4264000",4264500,2988500
227,"2024-12-13","11000000","CRS3035RES1000mN3271000E4550000",4550500,3271500
228,"2024-12-13","12064380","CRS3035RES1000mN3274000E4576000",4576500,3274500
229,"2024-12-13","06634013","CRS3035RES1000mN3108000E4288000",4288500,3108500
230,"2024-12-13","07138071","CRS3035RES1000mN3050000E4144000",4144500,3050500
231,"2024-12-13","05962028","CRS3035RES1000mN3113000E4146000",4146500,3113500
232,"2024-12-13","13073046","CRS3035RES1000mN3475000E4520000",4520500,3475500
233,"2024-12-13","14511000","CRS3035RES1000mN3087000E4525000",4525500,3087500
234,"2024-12-13","13071026","CRS3035RES1000mN3384000E4549000",4549500,3384500
235,"2024-12-13","08116077","CRS3035RES1000mN2837000E4265000",4265500,2837500
236,"2024-12-13","06533006","CRS3035RES1000mN3035000E4181000",4181500,3035500
237,"2024-12-13","04012000","CRS3035RES1000mN3387000E4229000",4229500,3387500
238,"2024-12-13","07332022","CRS3035RES1000mN2927000E4193000",4193500,2927500
239,"2024-12-13","09564000","CRS3035RES1000mN2921000E4400000",4400500,2921500
240,"2024-12-13","09771113","CRS3035RES1000mN2816000E4405000",4405500,2816500
241,"2024-12-13","12068426","CRS3035RES1000mN3310000E4501000",4501500,3310500
242,"2024-12-13","03241007","CRS3035RES1000mN3244000E4302000",4302500,3244500
243,"2024-12-13","12071304","CRS3035RES1000mN3203000E4625000",4625500,3203500
244,"2024-12-13","05382004","CRS3035RES1000mN3068000E4110000",4110500,3068500
245,"2024-12-13","05374016","CRS3035RES1000mN3119000E4134000",4134500,3119500
246,"2024-12-13","14524010","CRS3035RES1000mN3076000E4508000",4508500,3076500
247,"2024-12-13","09172111","CRS3035RES1000mN2749000E4542000",4542500,2749500
248,"2024-12-13","14730060","CRS3035RES1000mN3143000E4529000",4529500,3143500
249,"2024-12-13","08125039","CRS3035RES1000mN2907000E4260000",4260500,2907500
250,"2024-12-13","16061117","CRS3035RES1000mN3161000E4350000",4350500,3161500
251,"2024-12-13","05124000","CRS3035RES1000mN3133000E4127000",4127500,3133500
252,"2024-12-13","05711000","CRS3035RES1000mN3210000E4216000",4216500,3210500
253,"2024-12-13","01059081","CRS3035RES1000mN3498000E4292000",4292500,3498500
254,"2024-12-13","05314000","CRS3035RES1000mN3068000E4119000",4119500,3068500
255,"2024-12-13","08126060","CRS3035RES1000mN2908000E4292000",4292500,2908500
256,"2024-12-13","02000000","CRS3035RES1000mN3385000E4321000",4321500,3385500
257,"2024-12-13","14523020","CRS3035RES1000mN3045000E4490000",4490500,3045500
258,"2024-12-13","09671122","CRS3035RES1000mN2978000E4253000",4253500,2978500
259,"2024-12-13","05154036","CRS3035RES1000mN3191000E4054000",4054500,3191500
260,"2024-12-13","01053116","CRS3035RES1000mN3377000E4352000",4352500,3377500
261,"2024-12-13","06435006","CRS3035RES1000mN3007000E4244000",4244500,3007500
262,"2024-12-13","05358012","CRS3035RES1000mN3066000E4077000",4077500,3066500
263,"2024-12-13","05754008","CRS3035RES1000mN3201000E4208000",4208500,3201500
264,"2024-12-13","13003000","CRS3035RES1000mN3447000E4455000",4455500,3447500
265,"2024-12-13","11000000","CRS3035RES1000mN3270000E4548000",4548500,3270500
266,"2024-12-13","09273147","CRS3035RES1000mN2838000E4453000",4453500,2838500
267,"2024-12-13","03456001","CRS3035RES1000mN3252000E4122000",4122500,3252500
268,"2024-12-13","03241004","CRS3035RES1000mN3264000E4313000",4313500,3264500
269,"2024-12-13","02000000","CRS3035RES1000mN3369000E4321000",4321500,3369500
270,"2024-12-13","08416041","CRS3035RES1000mN2824000E4252000",4252500,2824500
271,"2024-12-13","06531007","CRS3035RES1000mN3055000E4223000",4223500,3055500
272,"2024-12-13","07231079","CRS3035RES1000mN2957000E4103000",4103500,2957500
273,"2024-12-13","09271119","CRS3035RES1000mN2863000E4537000",4537500,2863500
274,"2024-12-13","08236040","CRS3035RES1000mN2869000E4236000",4236500,2869500
275,"2024-12-13","05974008","CRS3035RES1000mN3165000E4195000",4195500,3165500
276,"2024-12-13","07338022","CRS3035RES1000mN2925000E4194000",4194500,2925500
277,"2024-12-13","03356008","CRS3035RES1000mN3343000E4235000",4235500,3343500
278,"2024-12-13","12073309","CRS3035RES1000mN3350000E4606000",4606500,3350500
279,"2024-12-13","13072098","CRS3035RES1000mN3438000E4453000",4453500,3438500
280,"2024-12-13","03103000","CRS3035RES1000mN3258000E4379000",4379500,3258500
281,"2024-12-13","05913000","CRS3035RES1000mN3153000E4145000",4145500,3153500
282,"2024-12-13","02000000","CRS3035RES1000mN3390000E4321000",4321500,3390500
283,"2024-12-13","01059081","CRS3035RES1000mN3499000E4291000",4291500,3499500
284,"2024-12-13","14511000","CRS3035RES1000mN3082000E4525000",4525500,3082500
285,"2024-12-13","07111000","CRS3035RES1000mN3028000E4147000",4147500,3028500
286,"2024-12-13","08119008","CRS3035RES1000mN2870000E4278000",4278500,2870500
287,"2024-12-13","13073038","CRS3035RES1000mN3471000E4529000",4529500,3471500
288,"2024-12-13","03353032","CRS3035RES1000mN3361000E4329000",4329500,3361500
289,"2024-12-13","05124000","CRS3035RES1000mN3135000E4122000",4122500,3135500
290,"2024-12-13","03153018","CRS3035RES1000mN3187000E4344000",4344500,3187500
291,"2024-12-13","05562028","CRS3035RES1000mN3172000E4131000",4131500,3172500
292,"2024-12-13","01059081","CRS3035RES1000mN3499000E4289000",4289500,3499500
293,"2024-12-13","09676116","CRS3035RES1000mN2955000E4268000",4268500,2955500
294,"2024-12-13","02000000","CRS3035RES1000mN3397000E4326000",4326500,3397500
295,"2024-12-13","11000000","CRS3035RES1000mN3276000E4565000",4565500,3276500
296,"2024-12-13","05124000","CRS3035RES1000mN3131000E4123000",4123500,3131500
297,"2024-12-13","07138038","CRS3035RES1000mN3041000E4135000",4135500,3041500
298,"2024-12-13","04011000","CRS3035RES1000mN3326000E4242000",4242500,3326500
299,"2024-12-13","06439008","CRS3035RES1000mN3014000E4196000",4196500,3014500
300,"2024-12-13","05314000","CRS3035RES1000mN3074000E4115000",4115500,3074500
301,"2024-12-13","14713000","CRS3035RES1000mN3143000E4489000",4489500,3143500
302,"2024-12-13","16073005","CRS3035RES1000mN3064000E4410000",4410500,3064500
303,"2024-12-13","05122000","CRS3035RES1000mN3122000E4112000",4112500,3122500
304,"2024-12-13","16073005","CRS3035RES1000mN3063000E4411000",4411500,3063500
305,"2024-12-13","14521620","CRS3035RES1000mN3069000E4522000",4522500,3069500
306,"2024-12-13","09471120","CRS3035RES1000mN2970000E4376000",4376500,2970500
307,"2024-12-13","12067508","CRS3035RES1000mN3240000E4639000",4639500,3240500
308,"2024-12-13","07335025","CRS3035RES1000mN2936000E4155000",4155500,2936500
309,"2024-12-13","14612000","CRS3035RES1000mN3109000E4588000",4588500,3109500
310,"2024-12-13","15090285","CRS3035RES1000mN3292000E4460000",4460500,3292500
311,"2024-12-13","05978032","CRS3035RES1000mN3179000E4146000",4146500,3179500
312,"2024-12-13","05711000","CRS3035RES1000mN3217000E4219000",4219500,3217500
313,"2024-12-13","16076079","CRS3035RES1000mN3072000E4465000",4465500,3072500
314,"2024-12-13","16067087","CRS3035RES1000mN3089000E4385000",4385500,3089500
315,"2024-12-13","02000000","CRS3035RES1000mN3386000E4319000",4319500,3386500
316,"2024-12-13","11000000","CRS3035RES1000mN3278000E4546000",4546500,3278500
317,"2024-12-13","11000000","CRS3035RES1000mN3277000E4552000",4552500,3277500
318,"2024-12-13","13075058","CRS3035RES1000mN3452000E4571000",4571500,3452500
319,"2024-12-13","07315000","CRS3035RES1000mN2990000E4193000",4193500,2990500
320,"2024-12-13","11000000","CRS3035RES1000mN3272000E4537000",4537500,3272500
321,"2024-12-13","16073113","CRS3035RES1000mN3053000E4402000",4402500,3053500
322,"2024-12-13","08118071","CRS3035RES1000mN2868000E4257000",4257500,2868500
323,"2024-12-13","09187114","CRS3035RES1000mN2742000E4495000",4495500,2742500
324,"2024-12-13","09187117","CRS3035RES1000mN2751000E4471000",4471500,2751500
325,"2024-12-13","03452023","CRS3035RES1000mN3377000E4142000",4142500,3377500
326,"2024-12-13","09573134","CRS3035RES1000mN2924000E4389000",4389500,2924500
327,"2024-12-13","01059113","CRS3035RES1000mN3526000E4291000",4291500,3526500
328,"2024-12-13","03241007","CRS3035RES1000mN3242000E4303000",4303500,3242500
329,"2024-12-13","11000000","CRS3035RES1000mN3266000E4547000",4547500,3266500
330,"2024-12-13","11000000","CRS3035RES1000mN3269000E4550000",4550500,3269500
331,"2024-12-13","14521390","CRS3035RES1000mN3065000E4551000",4551500,3065500
332,"2024-12-13","05112000","CRS3035RES1000mN3148000E4091000",4091500,3148500
333,"2024-12-13","11000000","CRS3035RES1000mN3275000E4548000",4548500,3275500
334,"2024-12-13","01058137","CRS3035RES1000mN3493000E4308000",4308500,3493500
335,"2024-12-13","09372171","CRS3035RES1000mN2921000E4517000",4517500,2921500
336,"2024-12-13","02000000","CRS3035RES1000mN3384000E4322000",4322500,3384500
337,"2024-12-13","02000000","CRS3035RES1000mN3390000E4329000",4329500,3390500
338,"2024-12-13","05374016","CRS3035RES1000mN3118000E4133000",4133500,3118500
339,"2024-12-13","11000000","CRS3035RES1000mN3278000E4546000",4546500,3278500
340,"2024-12-13","11000000","CRS3035RES1000mN3262000E4554000",4554500,3262500
